quarter,property_type,index
1991-Q3,All Residential,46.8
1991-Q3,Landed,46.5
1991-Q3,Non-Landed,47.5
1991-Q4,All Residential,47.6
1991-Q4,Landed,48.1
1991-Q4,Non-Landed,47.7
1992-Q1,All Residential,49.9
1992-Q1,Landed,50.5
1992-Q1,Non-Landed,49.9
1992-Q2,All Residential,51.8
1992-Q2,Landed,51.3
1992-Q2,Non-Landed,52.7
1992-Q3,All Residential,53.8
1992-Q3,Landed,52.7
1992-Q3,Non-Landed,55.2
1992-Q4,All Residential,55.3
1992-Q4,Landed,54.7
1992-Q4,Non-Landed,56.3
1993-Q1,All Residential,58.3
1993-Q1,Landed,60.4
1993-Q1,Non-Landed,57.2
1993-Q2,All Residential,64.9
1993-Q2,Landed,69.8
1993-Q2,Non-Landed,61.6
1993-Q3,All Residential,71.1
1993-Q3,Landed,79.4
1993-Q3,Non-Landed,65.4
1993-Q4,All Residential,75.1
1993-Q4,Landed,84.5
1993-Q4,Non-Landed,68.5
1994-Q1,All Residential,82.1
1994-Q1,Landed,95.2
1994-Q1,Non-Landed,72.7
1994-Q2,All Residential,93.6
1994-Q2,Landed,107.6
1994-Q2,Non-Landed,83.4
1994-Q3,All Residential,104.5
1994-Q3,Landed,125.8
1994-Q3,Non-Landed,88.7
1994-Q4,All Residential,106.9
1994-Q4,Landed,126.7
1994-Q4,Non-Landed,92.3
1995-Q1,All Residential,109.8
1995-Q1,Landed,129.6
1995-Q1,Non-Landed,95.2
1995-Q2,All Residential,111.1
1995-Q2,Landed,130.5
1995-Q2,Non-Landed,96.8
1995-Q3,All Residential,112.7
1995-Q3,Landed,133.2
1995-Q3,Non-Landed,97.7
1995-Q4,All Residential,117.9
1995-Q4,Landed,135.1
1995-Q4,Non-Landed,105.5
1996-Q1,All Residential,122.3
1996-Q1,Landed,138.4
1996-Q1,Non-Landed,110.8
1996-Q2,All Residential,129.7
1996-Q2,Landed,140.9
1996-Q2,Non-Landed,122.2
1996-Q3,All Residential,127.2
1996-Q3,Landed,137.8
1996-Q3,Non-Landed,119.9
1996-Q4,All Residential,123.7
1996-Q4,Landed,131.7
1996-Q4,Non-Landed,118.8
1997-Q1,All Residential,119.2
1997-Q1,Landed,129.9
1997-Q1,Non-Landed,111.9
1997-Q2,All Residential,118.2
1997-Q2,Landed,128.9
1997-Q2,Non-Landed,110.9
1997-Q3,All Residential,113
1997-Q3,Landed,123.2
1997-Q3,Non-Landed,106.2
1997-Q4,All Residential,108.4
1997-Q4,Landed,116.8
1997-Q4,Non-Landed,102.9
1998-Q1,All Residential,98.3
1998-Q1,Landed,106.3
1998-Q1,Non-Landed,93
1998-Q2,All Residential,90.1
1998-Q2,Landed,97.2
1998-Q2,Non-Landed,85.4
1998-Q3,All Residential,78.3
1998-Q3,Landed,81.3
1998-Q3,Non-Landed,76.8
1998-Q4,All Residential,71.5
1998-Q4,Landed,72.8
1998-Q4,Non-Landed,71.2
1999-Q1,All Residential,75.4
1999-Q1,Landed,76.5
1999-Q1,Non-Landed,75.2
1999-Q2,All Residential,84.3
1999-Q2,Landed,87
1999-Q2,Non-Landed,83.5
1999-Q3,All Residential,91.1
1999-Q3,Landed,93.8
1999-Q3,Non-Landed,90.4
1999-Q4,All Residential,95.9
1999-Q4,Landed,98.8
1999-Q4,Non-Landed,95.1
2000-Q1,All Residential,98.9
2000-Q1,Landed,100.7
2000-Q1,Non-Landed,98.5
2000-Q2,All Residential,100.4
2000-Q2,Landed,101
2000-Q2,Non-Landed,100.4
2000-Q3,All Residential,97.6
2000-Q3,Landed,98.5
2000-Q3,Non-Landed,97.7
2000-Q4,All Residential,94.9
2000-Q4,Landed,97.2
2000-Q4,Non-Landed,94.2
2001-Q1,All Residential,91.1
2001-Q1,Landed,94.4
2001-Q1,Non-Landed,90
2001-Q2,All Residential,90.3
2001-Q2,Landed,92
2001-Q2,Non-Landed,89.8
2001-Q3,All Residential,87.6
2001-Q3,Landed,88.9
2001-Q3,Non-Landed,87.3
2001-Q4,All Residential,83.8
2001-Q4,Landed,87
2001-Q4,Non-Landed,82.7
2002-Q1,All Residential,82.8
2002-Q1,Landed,85.4
2002-Q1,Non-Landed,82
2002-Q2,All Residential,82.2
2002-Q2,Landed,85
2002-Q2,Non-Landed,81.4
2002-Q3,All Residential,82.6
2002-Q3,Landed,85.4
2002-Q3,Non-Landed,81.6
2002-Q4,All Residential,82.3
2002-Q4,Landed,85.1
2002-Q4,Non-Landed,81.3
2003-Q1,All Residential,81.6
2003-Q1,Landed,84.4
2003-Q1,Non-Landed,80.6
2003-Q2,All Residential,81.1
2003-Q2,Landed,83.8
2003-Q2,Non-Landed,80.2
2003-Q3,All Residential,80.7
2003-Q3,Landed,83.2
2003-Q3,Non-Landed,79.9
2003-Q4,All Residential,80.6
2003-Q4,Landed,83.1
2003-Q4,Non-Landed,79.9
2004-Q1,All Residential,80.3
2004-Q1,Landed,82.7
2004-Q1,Non-Landed,79.6
2004-Q2,All Residential,80.4
2004-Q2,Landed,83
2004-Q2,Non-Landed,79.6
2004-Q3,All Residential,80.7
2004-Q3,Landed,83.3
2004-Q3,Non-Landed,79.9
2004-Q4,All Residential,81.3
2004-Q4,Landed,83.6
2004-Q4,Non-Landed,80.8
2005-Q1,All Residential,81.9
2005-Q1,Landed,84
2005-Q1,Non-Landed,81.4
2005-Q2,All Residential,82.3
2005-Q2,Landed,84.1
2005-Q2,Non-Landed,81.9
2005-Q3,All Residential,83.3
2005-Q3,Landed,84.8
2005-Q3,Non-Landed,83.1
2005-Q4,All Residential,84.5
2005-Q4,Landed,85.6
2005-Q4,Non-Landed,84.4
2006-Q1,All Residential,85.8
2006-Q1,Landed,86.8
2006-Q1,Non-Landed,85.7
2006-Q2,All Residential,87.3
2006-Q2,Landed,88.2
2006-Q2,Non-Landed,87.2
2006-Q3,All Residential,89.6
2006-Q3,Landed,89.2
2006-Q3,Non-Landed,90
2006-Q4,All Residential,93.1
2006-Q4,Landed,91.3
2006-Q4,Non-Landed,93.8
2007-Q1,All Residential,97.6
2007-Q1,Landed,94
2007-Q1,Non-Landed,98.8
2007-Q2,All Residential,105.6
2007-Q2,Landed,100.6
2007-Q2,Non-Landed,107.1
2007-Q3,All Residential,114.4
2007-Q3,Landed,108.1
2007-Q3,Non-Landed,116
2007-Q4,All Residential,122.1
2007-Q4,Landed,112.7
2007-Q4,Non-Landed,124.4
2008-Q1,All Residential,126.7
2008-Q1,Landed,117.1
2008-Q1,Non-Landed,129
2008-Q2,All Residential,126.9
2008-Q2,Landed,117.8
2008-Q2,Non-Landed,129
2008-Q3,All Residential,123.9
2008-Q3,Landed,115.7
2008-Q3,Non-Landed,125.8
2008-Q4,All Residential,116.4
2008-Q4,Landed,110.1
2008-Q4,Non-Landed,117.8
2009-Q1,All Residential,100
2009-Q1,Landed,100
2009-Q1,Non-Landed,100
2009-Q2,All Residential,95.3
2009-Q2,Landed,95.3
2009-Q2,Non-Landed,95.3
2009-Q3,All Residential,110.3
2009-Q3,Landed,109.5
2009-Q3,Non-Landed,110.5
2009-Q4,All Residential,118.4
2009-Q4,Landed,118.6
2009-Q4,Non-Landed,118.4
2010-Q1,All Residential,125.1
2010-Q1,Landed,128.4
2010-Q1,Non-Landed,124.3
2010-Q2,All Residential,131.7
2010-Q2,Landed,136.4
2010-Q2,Non-Landed,130.5
2010-Q3,All Residential,135.5
2010-Q3,Landed,147
2010-Q3,Non-Landed,132.6
2010-Q4,All Residential,139.2
2010-Q4,Landed,155.1
2010-Q4,Non-Landed,135
2011-Q1,All Residential,142.3
2011-Q1,Landed,161.1
2011-Q1,Non-Landed,137.3
2011-Q2,All Residential,145.1
2011-Q2,Landed,166.9
2011-Q2,Non-Landed,139.2
2011-Q3,All Residential,147
2011-Q3,Landed,170.8
2011-Q3,Non-Landed,140.8
2011-Q4,All Residential,147.4
2011-Q4,Landed,171
2011-Q4,Non-Landed,141.2
2012-Q1,All Residential,147.2
2012-Q1,Landed,171.2
2012-Q1,Non-Landed,141
2012-Q2,All Residential,147.9
2012-Q2,Landed,171.9
2012-Q2,Non-Landed,141.6
2012-Q3,All Residential,148.8
2012-Q3,Landed,173.9
2012-Q3,Non-Landed,142.3
2012-Q4,All Residential,151.5
2012-Q4,Landed,177
2012-Q4,Non-Landed,144.8
2013-Q1,All Residential,152.4
2013-Q1,Landed,177.8
2013-Q1,Non-Landed,145.9
2013-Q2,All Residential,154
2013-Q2,Landed,178.4
2013-Q2,Non-Landed,148
2013-Q3,All Residential,154.6
2013-Q3,Landed,178.9
2013-Q3,Non-Landed,148.9
2013-Q4,All Residential,153.2
2013-Q4,Landed,177.1
2013-Q4,Non-Landed,147.6
2014-Q1,All Residential,151.3
2014-Q1,Landed,175.9
2014-Q1,Non-Landed,145.7
2014-Q2,All Residential,149.7
2014-Q2,Landed,172.9
2014-Q2,Non-Landed,144.5
2014-Q3,All Residential,148.6
2014-Q3,Landed,169.8
2014-Q3,Non-Landed,143.9
2014-Q4,All Residential,147
2014-Q4,Landed,167.6
2014-Q4,Non-Landed,142.5
2015-Q1,All Residential,145.5
2015-Q1,Landed,166.1
2015-Q1,Non-Landed,140.9
2015-Q2,All Residential,144.2
2015-Q2,Landed,164.4
2015-Q2,Non-Landed,139.8
2015-Q3,All Residential,142.3
2015-Q3,Landed,163.7
2015-Q3,Non-Landed,137.7
2015-Q4,All Residential,141.6
2015-Q4,Landed,160.8
2015-Q4,Non-Landed,137.4
2016-Q1,All Residential,140.6
2016-Q1,Landed,159
2016-Q1,Non-Landed,136.6
2016-Q2,All Residential,140
2016-Q2,Landed,156.6
2016-Q2,Non-Landed,136.5
2016-Q3,All Residential,137.9
2016-Q3,Landed,152.4
2016-Q3,Non-Landed,134.9
2016-Q4,All Residential,137.2
2016-Q4,Landed,153.6
2016-Q4,Non-Landed,133.8
2017-Q1,All Residential,136.7
2017-Q1,Landed,150.8
2017-Q1,Non-Landed,133.8
2017-Q2,All Residential,136.6
2017-Q2,Landed,150.3
2017-Q2,Non-Landed,133.7
2017-Q3,All Residential,137.6
2017-Q3,Landed,152.1
2017-Q3,Non-Landed,134.5
2017-Q4,All Residential,138.7
2017-Q4,Landed,152.9
2017-Q4,Non-Landed,135.6
2018-Q1,All Residential,144.1
2018-Q1,Landed,155.8
2018-Q1,Non-Landed,141.6
2018-Q2,All Residential,149
2018-Q2,Landed,162.2
2018-Q2,Non-Landed,146.1
2018-Q3,All Residential,149.7
2018-Q3,Landed,165.9
2018-Q3,Non-Landed,146.1
2018-Q4,All Residential,149.6
2018-Q4,Landed,162.6
2018-Q4,Non-Landed,146.8
2019-Q1,All Residential,148.6
2019-Q1,Landed,164.4
2019-Q1,Non-Landed,145.2
2019-Q2,All Residential,150.8
2019-Q2,Landed,164.2
2019-Q2,Non-Landed,148.1
2019-Q3,All Residential,152.8
2019-Q3,Landed,165.8
2019-Q3,Non-Landed,150
2019-Q4,All Residential,153.6
2019-Q4,Landed,171.8
2019-Q4,Non-Landed,149.6
2020-Q1,All Residential,152.1
2020-Q1,Landed,170.3
2020-Q1,Non-Landed,148.1
2020-Q2,All Residential,152.6
2020-Q2,Landed,170.3
2020-Q2,Non-Landed,148.7
2020-Q3,All Residential,153.8
2020-Q3,Landed,176.6
2020-Q3,Non-Landed,148.8
2020-Q4,All Residential,157
2020-Q4,Landed,173.8
2020-Q4,Non-Landed,153.3
2021-Q1,All Residential,162.2
2021-Q1,Landed,185.4
2021-Q1,Non-Landed,157.1
2021-Q2,All Residential,163.5
2021-Q2,Landed,184.8
2021-Q2,Non-Landed,158.8
2021-Q3,All Residential,165.3
2021-Q3,Landed,189.6
2021-Q3,Non-Landed,159.9
2021-Q4,All Residential,173.6
2021-Q4,Landed,197
2021-Q4,Non-Landed,168.4
2022-Q1,All Residential,174.8
2022-Q1,Landed,205.3
2022-Q1,Non-Landed,167.9
2022-Q2,All Residential,180.9
2022-Q2,Landed,211.3
2022-Q2,Non-Landed,173.9
2022-Q3,All Residential,187.8
2022-Q3,Landed,214.7
2022-Q3,Non-Landed,181.6
2022-Q4,All Residential,188.6
2022-Q4,Landed,216.0
2022-Q4,Non-Landed,182.1
